Manufacturer,Equipment Type,Model Name,First Manufactured,Last Manufactured,OS,Firmware Version,Battery Life,Scanning Rate,VVPAT?,Paper Capacity,Certification Level,Security Risks,Notes/Misc.,Discontinued,Team that added
Hart InterCivic,DRE Touchscreen,Verity Touch,6/1/2001,12/31/2019,Proprietary Embedded OS,eSlateOS 3.1,4,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 4 based on early-generation precinct deployment. Scanning rate is 0 because it is a DRE. Paper capacity is 0 because the eSlate did not use printed ballots.,TRUE,The Knicks (Sean)
Hart InterCivic,Hand-Fed Optical Scanner,Verity Scan,4/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.5,8,0,FALSE,0,VVSG 2.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on Hart touchscreen hardware documentation. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 because it does not produce a printed record.,FALSE,The Knicks (Sean)
Hart InterCivic,Hand-Fed Optical Scanner,eScan,4/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.5,8,71,FALSE,3000,VVSG 2.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 8 based on Verity field specifications. Scanning rate is 71 based on official Hart documentation.,FALSE,The Knicks (Sean)
Hart InterCivic,Hybrid Optical Scanner/DRE,eScan A/T,6/1/2003,12/31/2019,Linux,eScanOS 2.0,6,71,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 6 based on precinct unit deployment specs. Scanning rate is 71 based on official documentation.,FALSE,The Knicks (Sean)
IVS,BMD,Inspire Ballot Marking Device,6/1/2008,12/31/2020,Linux,eScanATOS 2.2,6,71,TRUE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on hybrid scanner deployments. Scanning rate is 71 as per Hart specifications.,FALSE,The Knicks (Sean)
Democracy Live,BMD,OmniBallot Tablet,,,Windows 10 IoT Enterprise,,,,FALSE,,,,,,Timberwolves (Akib)
Democracy Live,Internet Voting,OmniBallot Online,2008,,,,,,FALSE,,,"Electronic return of voted ballot (internet voting) supported, screen reader incompatibility, AWS cloud hosting, sharing of voter's identity and selections",,FALSE,Timberwolves (Akib)
Democracy Live,Remote Ballot Marking,Secure Select,2018,2024,Web-based,SecureSelect 1.0,Device Reliant,N/A,FALSE,,,Unreadable bar codes and QR codes,,TRUE,"Timberwolves (Akib)
+ Magic"
Dominion,BMD,ImageCast X,2016,2026,,,,,TRUE,,VVSG 1.0 (2005),"Improper verification of cryptographic signature, mutable attestation or measurement reporting data
hidden functionality, improper protection of alternate path, path traversal, executation with unnecessary privileges,
authentication bypass by spoofing, incorrect privilege assignment, origin validation error",,FALSE,"Timberwolves (Akib)
+ Magic"
ES&S,DRE Touchscreen,ExpressTouch,2020,2026,,EVS 6.0.4.0,,N/A,FALSE,0,VVSG 1.0 (2005),,,FALSE,"Timberwolves (Akib) 
+ Magic"
ES&S,BMD,AutoMARK,2003,,Windows,,2 Hours,,FALSE,,VSS 2002,Windows Key Vulnerability,,TRUE,Timberwolves (Akib)/Lakers
ES&S,Batch-Fed Optical Scanner,Batch-Fed Optical Scanner,,,,EVS 6.5.0.0,,,,,VVSG 1.0 (2005),,,,
ES&S,Hand-Fed Optical Scanner,DS200,2009,2026,Linux,EVS 6.5.0.0,4,11 ballots/min,FALSE,3500,VVSG 1.0 (2005),,,FALSE,The Bulls
ES&S,Hand-Fed Optical Scanner,DS300,2023,2026,Linux,VVSG 2.0,6,,FALSE,3000,VVSG 1.0 (2005),,5-7 year production and service parts supply,FALSE,The Bulls
ES&S/Unisyn,BMD,InkaVote Plus,,,,,,,,,,,,,
Enhanced Voting,Remote Ballot Marking,MyBallot,2013,,Web-based (single HTML file),,,N/A,TRUE,N/A,,Unreadable bar codes and QR codes,,,
Five Cedars Group,BMD,Alternate Format Ballot,,,,,,,,,,,,,
Hand Count,Hand Count,Hand Counted Paper Ballots,,,,,,,,,,,,,
In-House,Internet Voting,In-House Internet Voting Systems,,,,,,,,,,,,,
In-House,Remote Ballot Marking,In-House Remote Ballot Marking Systems,,,,,,,,,,,,,
MicroVote,DRE Push Button,MV-464,1985,,,,,,,,VSTL Certification Test Plan,"in the event of a failure in the electronics, the last 4 votes cast would be lost",,2016,
MicroVote/Chatsworth,Hand-Fed Optical Scanner,ACP 2200,2004,,Embedded OS,,,,FALSE,,v.4.0B EAC certification,,,,The Bulls
Premier Election Solutions (Diebold),Batch-Fed Optical Scanner,AccuVote OS Central,,,,,,,,,,,,,
Premier Election Solutions (Diebold),DRE Touchscreen,AccuVote TSX,,,,,,,,,,,,,
Robis,Electronic Poll Book,AskED ePollbook,,,,,,,,,,,,,
Sequoia Voting Systems,Batch-Fed Optical Scanner,Optech 400C,,,,,,,,,,,,,
Sequoia Voting Systems,DRE Touchscreen,AVC Edge,,,,,,,,,,,,,
Sequoia Voting Systems,Hand-Fed Optical Scanner,Optech Insight,,,,,,,,,,,,,
Sequoia and ES&S,Hand-Fed Optical Scanner,Optech IIIP-Eagle,,,,,,,,,,,,,
UniLect,DRE Touchscreen,Patriot,,,,,,,,,,,,,
UniLect,Hand-Fed Optical Scanner,Marksense Scanner,,,,,,,,,,,,,
Vote-PAD,BMD,Ballot Marking System,,,,,,,,,,,,,
Votec,Electronic Poll Book,VoteSafe,2015,2024,Windows,,Device Reliant,N/A,FALSE,N/A,,,,FALSE,The Bulls
